,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
8260,9612538000.0,401313730.0,90626740000.0,36.731987,0.15117331,82.92765,48.282497,100642520000.0,0.7
8261,6971508700.0,2876558000.0,92767510000.0,22.23936,0.40841326,114.92574,58.670704,102628800000.0,0.7
8262,9036924000.0,1957094700.0,87738200000.0,27.665129,0.36335427,94.10014,51.498947,98737430000.0,0.7
8263,10636274000.0,820406700.0,88976010000.0,26.173647,0.22500885,91.60812,51.72733,100435910000.0,0.7
8264,6430691300.0,253576930.0,59874087000.0,27.812216,0.16246073,71.78762,43.287273,66559710000.0,0.7
8265,8812145000.0,1215751000.0,94283480000.0,27.479446,0.2896102,95.56568,52.801006,104315780000.0,0.7
8266,7464039400.0,530836930.0,95652890000.0,35.70555,0.14927422,82.6319,48.248688,103650030000.0,0.7
8267,4490235000.0,212504350.0,49805460000.0,26.5261,0.07084266,68.54603,39.872475,54509390000.0,0.7
8268,10240664000.0,1205238100.0,85521195000.0,28.444841,0.47504312,85.705315,49.46247,96971820000.0,0.7
8269,10101641000.0,712384300.0,84346890000.0,27.228767,0.37215596,87.70621,48.9537,95163850000.0,0.7
8270,7620344000.0,820873150.0,83517450000.0,25.343119,0.26780918,91.56647,51.531235,91962810000.0,0.7
8271,9308175000.0,381541060.0,89133920000.0,29.704494,0.15837927,85.52535,51.535065,98826125000.0,0.7
8272,9310100000.0,550877900.0,70300270000.0,28.36645,0.21879832,80.353,45.02971,80164315000.0,0.7
8273,11258769000.0,2049207300.0,67447570000.0,22.820225,0.9855602,94.326775,51.513634,80757430000.0,0.7
8274,7888592000.0,1156789400.0,89350800000.0,25.4209,0.4317002,93.63948,52.079277,98401290000.0,0.7
8275,11219036000.0,437732030.0,80333505000.0,28.3586,0.12213851,84.03045,48.621544,91992850000.0,0.7
8276,9130184000.0,664792900.0,91561450000.0,27.401333,0.35995874,89.73668,54.296894,101359110000.0,0.7
8277,4134031000.0,324551500.0,57561797000.0,23.4067,0.1270652,75.70291,46.002018,62021575000.0,0.7
8278,11599186000.0,402441920.0,79148770000.0,27.15667,0.10604831,85.17031,50.10124,91152900000.0,0.7
8279,11285751000.0,1232265900.0,74287780000.0,19.329227,0.55239797,99.13418,53.584442,86809100000.0,0.7
8280,7758042000.0,1058482370.0,89844020000.0,27.769258,0.26689747,89.11094,53.935654,98663260000.0,0.7
8281,6657771500.0,461216670.0,76027900000.0,30.832993,0.12739196,77.28551,45.742638,83148790000.0,0.7
8282,8744677000.0,334368030.0,70336560000.0,31.636623,0.09359408,73.803955,42.700443,79417820000.0,0.7
8283,9143924000.0,660506000.0,93186780000.0,25.095718,0.31382224,93.99376,57.210033,102994330000.0,0.7
8284,10459125000.0,1407295700.0,84474850000.0,22.18836,0.3929083,99.54555,53.633514,96345390000.0,0.7
8285,8383054300.0,762986600.0,91578696000.0,29.945168,0.17857929,86.53626,49.87472,100727760000.0,0.7
8286,11094077000.0,1274962400.0,84383195000.0,22.399836,0.30806798,99.92591,53.045685,96755120000.0,0.7
8287,12114565000.0,1518711200.0,62090187000.0,19.19605,0.32678127,92.4467,50.65225,75727550000.0,0.7
8288,14527941000.0,520338340.0,71207756000.0,23.706589,0.17418393,88.77832,50.388813,86258490000.0,0.7
8289,9513246000.0,804870200.0,92266580000.0,24.886547,0.22932352,95.657425,54.5237,102589104000.0,0.7
8290,6234956000.0,1414883000.0,46910554000.0,17.469074,0.2564361,89.856705,46.812668,54561915000.0,0.7
8291,11645041000.0,610446140.0,76710350000.0,25.389395,0.20665532,87.65025,49.012287,88968160000.0,0.7
8292,9475071000.0,2658348000.0,63266296000.0,20.148079,0.45159695,104.708984,51.64582,75408980000.0,0.7
8293,9770697000.0,887278300.0,86332490000.0,28.580175,0.42371255,88.687546,49.940666,96994490000.0,0.7
8294,8724944000.0,1489410700.0,76067380000.0,25.58143,0.3374823,86.7819,48.390923,86284380000.0,0.7
8295,9988536000.0,1012727800.0,82972500000.0,29.11467,0.48354265,85.60649,47.871918,93977166000.0,0.7
8296,8850289000.0,907984200.0,92439450000.0,29.23733,0.20018633,88.0029,51.94048,102201310000.0,0.7
8297,9746761000.0,395625120.0,86033010000.0,30.146627,0.16832083,84.48965,48.15038,96177560000.0,0.7
