,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
5817,5877936000.0,916745400.0,62103347000.0,15.275964,0.536744,99.30866,58.464645,68899630000.0,2.0
5818,5750503000.0,376144740.0,63585280000.0,18.852112,0.26676762,89.35724,52.678173,69713420000.0,2.0
5819,6114334700.0,305785540.0,53475353000.0,16.061378,0.3152165,90.29566,55.863552,59896710000.0,2.0
5820,5254246400.0,337551940.0,27646757000.0,12.933526,0.37493294,74.4284,41.403595,33238557000.0,2.0
5821,7285612000.0,804028800.0,56465090000.0,14.870735,0.9141562,98.59053,56.26822,64554734000.0,2.0
5822,6748512000.0,213995580.0,51553743000.0,19.637806,0.37032196,80.64478,50.94864,58516250000.0,2.0
5823,5405949400.0,444837000.0,59474792000.0,16.687504,0.35935828,93.841156,57.67324,65326950000.0,2.0
5824,6058057000.0,460790370.0,61634626000.0,15.051294,0.44399738,99.29013,62.490456,68154840000.0,2.0
5825,5912810000.0,144123180.0,35963480000.0,17.122803,0.16811025,73.14951,42.24617,42020410000.0,2.0
5826,6823475700.0,645852200.0,55412850000.0,15.81647,0.66276276,92.7671,54.224762,62882180000.0,2.0
5827,6924385300.0,150508690.0,47349780000.0,15.9072695,0.2558653,86.66858,55.742073,54424680000.0,2.0
5828,4908685300.0,300647500.0,60737570000.0,18.773533,0.23680069,87.28276,55.401512,65948172000.0,2.0
5829,6030171600.0,212692460.0,55044410000.0,15.347511,0.3064411,94.40386,61.053368,61287272000.0,2.0
5830,8914014000.0,561877200.0,46747664000.0,14.257688,0.5498284,92.57133,52.976276,56223556000.0,2.0
5831,6070011000.0,199265310.0,54243100000.0,19.249388,0.17345703,82.55652,53.67357,60512370000.0,2.0
5832,4498291000.0,204460640.0,41332654000.0,17.325218,0.3688326,77.15447,46.627773,46036623000.0,2.0
5833,7851087000.0,231380370.0,45487153000.0,17.933891,0.33292353,82.51381,52.45438,53569620000.0,2.0
5834,5970478000.0,377546660.0,61688170000.0,18.159056,0.36074263,89.87932,54.678772,68037480000.0,2.0
5835,5688640000.0,259803400.0,57064493000.0,18.980154,0.24161412,84.662,52.295383,63014265000.0,2.0
