,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
1534,5427183000.0,786603400.0,98784640000.0,45.24131,0.06578501,75.40219,41.41525,105003240000.0,0.0
1535,11008698000.0,398661900.0,84625490000.0,32.339855,0.083045185,82.80815,44.759052,96035350000.0,0.0
1536,7758164500.0,1385889900.0,80255010000.0,40.07597,0.13375992,78.23344,40.862206,89404015000.0,0.0
1537,9093541000.0,1435013000.0,82403040000.0,31.4666,0.24180767,84.43941,44.27285,92937740000.0,0.0
1538,6208979500.0,2510749400.0,85464015000.0,29.791843,0.12951173,91.81463,47.11345,94188810000.0,0.0
1539,6856808000.0,977810900.0,92929040000.0,39.319557,0.13207555,78.5343,43.097164,100769554000.0,0.0
1540,1027596400.0,125777290.0,18501958000.0,14.898473,0.02569524,53.362373,30.901352,19655332000.0,0.0
1541,8898502000.0,856278340.0,90483360000.0,32.455433,0.16589776,85.84269,45.499363,100243370000.0,0.0
1542,5858720000.0,2284380200.0,92049695000.0,34.103207,0.18165505,91.359116,45.8723,100200006000.0,0.0
1543,530025200.0,226917600.0,7312574500.0,5.926342,0.0350911,54.760498,34.03299,8069518000.0,0.0
1544,7858836000.0,1059268800.0,85956330000.0,33.79662,0.076071896,85.80405,43.954853,94879380000.0,0.0
1545,9614829000.0,1136144000.0,84073734000.0,35.487915,0.11069148,80.3372,42.64429,94829070000.0,0.0
1546,3336460800.0,940141100.0,35159437000.0,18.257212,0.11166025,74.18419,38.796738,39436040000.0,0.0
1547,9376133000.0,474425470.0,84016560000.0,37.03649,0.11939608,78.67337,41.531956,93870320000.0,0.0
1548,8481968600.0,443005000.0,83575520000.0,36.724262,0.08913186,75.90728,43.542152,92503250000.0,0.0
1549,7860816000.0,568106400.0,85845615000.0,43.409103,0.14798266,71.66898,39.529297,94277930000.0,0.0
1550,8119798000.0,593387650.0,89213320000.0,38.113983,0.11036452,76.592545,41.87762,97929950000.0,0.0
1551,8868465000.0,364867100.0,83996600000.0,39.198162,0.07989773,74.28122,40.130127,93232430000.0,0.0
1552,10180294000.0,906766340.0,82102660000.0,31.629137,0.18755908,82.68179,43.847515,93194270000.0,0.0
1553,9372848000.0,956025660.0,74893990000.0,37.30754,0.14405774,75.42639,39.61343,85225540000.0,0.0
1554,8814850000.0,891482500.0,79374290000.0,35.756607,0.17475754,79.35392,41.530815,89083760000.0,0.0
1555,4405422000.0,705984960.0,49311780000.0,36.27656,0.18323281,67.174034,33.88469,54423183000.0,0.0
1556,8417835000.0,798454400.0,87202320000.0,37.161034,0.0859679,78.38136,42.08429,96422380000.0,0.0
1557,189395890.0,101225340.0,1907095600.0,2.8037176,0.033561733,41.492653,26.349031,2197716700.0,0.0
1558,6242581500.0,1496048300.0,92887300000.0,36.093533,0.12044946,84.459595,44.77571,100631950000.0,0.0
1559,5592810500.0,1533858000.0,97193350000.0,33.658615,0.17493995,90.349815,46.113,104326590000.0,0.0
1560,7847441400.0,569355460.0,78380130000.0,35.4272,0.07916771,79.13296,41.141518,86800300000.0,0.0
1561,10907633000.0,1571727500.0,73500990000.0,27.373075,0.14361018,86.23881,43.809597,85985320000.0,0.0
1562,8027463000.0,573996900.0,89150700000.0,35.193695,0.1053669,80.949524,43.499607,97755630000.0,0.0
1563,6927939600.0,684949440.0,82744254000.0,44.25061,0.09847151,74.94492,39.86518,90359640000.0,0.0
1564,8126517000.0,1351644800.0,85462650000.0,32.32204,0.25622135,88.15282,45.31751,94947885000.0,0.0
1565,8307945500.0,451344200.0,66066817000.0,47.617794,0.05717803,63.376347,34.991436,74828510000.0,0.0
1566,5899283000.0,539439000.0,83472980000.0,34.064705,0.077091955,81.13215,42.624577,89914010000.0,0.0
